Date,Time,What
01-02,,Resolve to destroy fewer cities
01-15,09:00,Dentist (they have a bigger chair now)
02-02,,"Groundhog Day: check own shadow, apologise to town"
03-14,,Pi Day: eat pie, then eat the bakery
04-22,,Earth Day: solemnly promise not to step on it
05-04,,Tail Appreciation Day
06-21,,Longest day of the year. Longest nap of the year.
07-14,,Annual moult. Do not visit. Do not park nearby.
08-08,,International Cat Day (rivalry noted, tolerated)
09-19,,"Talk Like A Pirate Day, growl like a wolf anyway"
10-04,,World Animal Day: graciously accept the tribute
11-11,,"Order new hoodie, size: bigger"
12-21,,Winter solstice: forty feet tall until dawn
2026-08-21,09:00,Destroy a certain city (again)
2026-08-22,10:00,Apologise to that city
2026-08-22,14:00,Help rebuild that city
2026-08-24,,Eat a certain billionaire
2026-08-24,20:00,Savour every bite. Plan seconds.
2026-08-25,11:00,Tail maintenance
2026-08-26,,"Return library books (overdue: 3 years, 1 city)"
2026-08-28,15:00,Grow forty feet for the afternoon
2026-08-31,,Rooftop brunch. The roof did not survive.
2026-09-01,08:30,Coast guard: written apology due
2026-09-03,,Buy new hoodie (previous one: incident)
2026-09-07,13:00,Paw inspection
2026-09-09,,"Vet appointment (they still say ""good boy"")"
2026-09-12,,City-scale nap
2026-09-15,16:00,"Meeting with the mayor, again"
2026-09-21,,Skyline redesign consultation (uninvited)
2026-09-30,,"Insurance renewal (no, they will not cover it)"
